BIRTHDATE;GENDER;MIN;MAX;COUNT;SUM
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;4.0;4.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[23.11.1931, 14.10.1963[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[23.11.1931, 14.10.1963[;F;2.0;2.0;1.0;2.0
[23.11.1931, 14.10.1963[;F;2.0;2.0;3.0;6.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;5.0;5.0;1.0;5.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;3.0;6.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;5.0;5.0;3.0;15.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;6.0;6.0;1.0;6.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;F;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;8.0;8.0;1.0;8.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;3.0;3.0;3.0;9.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;2.0;2.0
[14.10.1963, 04.09.1995[;M;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;3.0;6.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;F;4.0;4.0;3.0;12.0
[14.10.1963, 04.09.1995[;M;3.0;3.0;1.0;3.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;4.0;4.0;1.0;4.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;F;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;1.0;1.0
[04.09.1995, 31.12.2019[;M;1.0;1.0;3.0;3.0
[14.10.1963, 04.09.1995[;F;3.0;3.0;1.0;3.0
[14.10.1963, 04.09.1995[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;3.0;3.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
[23.11.1931, 14.10.1963[;F;2.0;2.0;1.0;2.0
[14.10.1963, 04.09.1995[;M;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;F;1.0;1.0;1.0;1.0
[14.10.1963, 04.09.1995[;M;2.0;2.0;1.0;2.0
[04.09.1995, 31.12.2019[;F;1.0;1.0;1.0;1.0
